brand,name,price_usd,price_bdt,image_url,socket,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,has_integrated_graphics
Intel,Intel Core i5-11600KF,169.89,22935.15,,LGA1200,6,3.9,4.9,Rocket Lake,125,,False
Intel,Intel Core i3-10105,99.0,13365.0,,LGA1200,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,True
AMD,AMD Ryzen 3 1200 (14nm),70.0,9450.0,,AM4,4,3.1,3.4,Zen,65,,False
AMD,AMD Ryzen 5 3600,,,,AM4,6,3.6,4.2,Zen 2,65,,False
Intel,Intel Core i5-10600KF,236.92,31984.2,,LGA1200,6,4.1,4.8,Comet Lake,125,,False
AMD,AMD Ryzen 5 1400,79.98,10797.3,,AM4,4,3.2,3.4,Zen,65,,False
AMD,AMD Ryzen 5 5600T,160.19,21625.65,,AM4,6,3.5,4.5,Zen 3,65,,False
Intel,Intel Core i9-10900KF,,,,LGA1200,10,3.7,5.3,Comet Lake,125,,False
Intel,Intel Core i9-14900,571.86,77201.1,,LGA1700,24,2.0,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770,True
AMD,AMD Ryzen 5 1500X,149.99,20248.65,,AM4,4,3.5,3.7,Zen,65,,False
Intel,Intel Core i5-10500,229.95,31043.25,,LGA1200,6,3.1,4.5,Comet Lake,65,Intel UHD Graphics 630,True
Intel,Intel Core i9-10980XE,1004.04,135545.4,,LGA1200,18,3.0,4.8,Cascade Lake,165,,False
AMD,AMD Ryzen 9 PRO 7945,,,,AM5,12,3.7,5.4,Zen 4,65,Radeon,True
Intel,Intel Core i9-13900,414.99,56023.65,,LGA1700,24,2.0,5.6,Raptor Lake,65,Intel UHD Graphics 770,True
Intel,Intel Core i5-12600,249.99,33748.65,,LGA1700,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770,True
Intel,Intel Core i9-10900F,,,,LGA1200,10,2.8,5.2,Comet Lake,65,,False
Intel,Intel Core i9-10900,390.77,52753.95,,LGA1200,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630,True
Intel,Intel Core i9-10900X,479.99,64798.65,,LGA1200,10,3.7,4.7,Cascade Lake,165,,False
AMD,AMD Ryzen 9 3900X,,,,AM4,12,3.8,4.6,Zen 2,105,,False
Intel,Intel Core i5-13500T,,,,LGA1700,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770,True
Intel,Intel Core i9-13900F,516.43,69718.05,,LGA1700,24,2.0,5.6,Raptor Lake,65,,False
Intel,Intel Core i5-11600,140.0,18900.0,,LGA1200,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750,True
Intel,Intel Core i5-11500,160.0,21600.0,,LGA1200,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750,True
AMD,AMD Ryzen 5 2600,,,,AM4,6,3.4,3.9,Zen+,65,,False
AMD,AMD Ryzen 5 5600XT,,,,AM4,6,3.7,4.7,Zen 3,65,,False
Intel,Intel Core i9-11900F,329.0,44415.0,,LGA1200,8,2.5,5.2,Rocket Lake,65,,False
Intel,Intel Core i9-12900F,359.89,48585.15,,LGA1700,16,2.4,5.1,Alder Lake,65,,False
Intel,Intel Core i9-12900,391.4,52839.0,,LGA1700,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770,True
Intel,Intel Core i5-14500T,,,,LGA1700,14,1.7,4.8,Raptor Lake Refresh,35,Intel UHD Graphics 770,True
