brand,name,price_usd,price_bdt,image_url,capacity_gb,form_factor,interface,cache_mb,price_per_gb
Transcend,Transcend TS960GSSD220S,103.11,13919.85,,960,2.5,SATA 6.0 Gb/s,,0.107
Seagate,Seagate Nytro Enterprise,599.95,80993.25,,240,2.5,SATA 6.0 Gb/s,,2.5
Seagate,Seagate Nytro Enterprise,649.0,87615.0,,960,2.5,SATA 6.0 Gb/s,,0.676
VisionTek,VisionTek PRO,86.63,11695.05,,480,2.5,SATA 6.0 Gb/s,,0.18
Seagate,Seagate Nytro Enterprise,153.79,20761.65,,480,2.5,SATA 6.0 Gb/s,,
QNAP,QNAP M2080,128.05,17286.75,,64,M.2-2280,M.2 SATA,,
Lenovo,Lenovo 5300,259.27,35001.45,,240,2.5,SATA 6.0 Gb/s,,
VisionTek,VisionTek PRO HXS,39.99,5398.65,,120,2.5,SATA 6.0 Gb/s,,0.333
VisionTek,VisionTek PRO XMN,159.13,21482.55,,256,M.2-2280,M.2 PCIe 3.0 X4,,0.622
VisionTek,VisionTek PRO HXS,189.99,25648.65,,2000,2.5,SATA 6.0 Gb/s,,0.095
VisionTek,VisionTek PRO ECS,347.95,46973.25,,2000,2.5,SATA 6.0 Gb/s,,0.174
Intel,Intel DC P3500,427.5,57712.5,,2000,2.5,U.2,,0.214
Angelbird,Angelbird AV PRO MK3,549.99,74248.65,,2000,2.5,SATA 6.0 Gb/s,,0.275
Angelbird,Angelbird AV PRO XT,429.99,58048.65,,500,2.5,SATA 6.0 Gb/s,,0.86
VisionTek,VisionTek PRO,153.7,20749.5,,1000,2.5,SATA 6.0 Gb/s,,0.154
PNY,PNY XLR8 CS3040 w/Heatsink,465.16,62796.6,,2000,M.2-2280,M.2 PCIe 4.0 X4,,0.233
V7,V7 V7SSD480GBS25U,35.33,4769.55,,480,2.5,SATA 6.0 Gb/s,,0.074
Intel,Intel D3-S4520,144.0,19440.0,,240,2.5,SATA 6.0 Gb/s,,0.6
Intel,Intel D3-S4520,200.0,27000.0,,960,2.5,SATA 6.0 Gb/s,,0.208
