brand,name,price_usd,price_bdt,image_url,wattage,efficiency_rating,modular,form_factor,color
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),207.99,28078.65,,1000,gold,Full,ATX,White
Silverstone,Silverstone FX500-G,157.08,21205.8,,500,gold,false,Flex ATX,Black
Vetroo,Vetroo GV1000,129.99,17548.65,,1000,gold,Full,ATX,White
Asus,Asus ROG Strix,169.99,22948.65,,850,gold,Full,ATX,White
EVGA,EVGA SuperNOVA 1300 G+,239.99,32398.65,,1300,gold,Full,ATX,Black
Montech,Montech APX,54.99,7423.65,,550,plus,false,ATX,Black
EVGA,EVGA 650 GQ,146.03,19714.05,,650,gold,Semi,ATX,
Silverstone,Silverstone SFX,232.63,31405.05,,800,titanium,Full,SFX,Black
be quiet!,be quiet! Straight Power 12,169.9,22936.5,,850,platinum,Full,ATX,Black
be quiet!,be quiet! Pure Power 13 M,159.9,21586.5,,1000,gold,Full,ATX,Black
Asus,Asus ROG LOKI,189.99,25648.65,,750,platinum,Full,SFX,Black / Silver
Gigabyte,Gigabyte UD1000GM PG5 (rev. 2.0),147.97,19975.95,,1000,gold,Full,ATX,Black
be quiet!,be quiet! Pure Power 12,163.81,22114.35,,650,gold,false,ATX,Black
NZXT,NZXT C1500,369.99,49948.65,,1500,platinum,Full,ATX,Black
SeaSonic,SeaSonic VERTEX PX-1000,269.99,36448.65,,1000,platinum,Full,ATX,Black / Silver
FSP,"FSP Group Hydro Ti PRO,Gen 5",269.99,36448.65,,1000,titanium,Full,ATX,Black
Thermaltake,Thermaltake Toughpower GF3 Snow,185.99,25108.65,,1200,gold,Full,ATX,White
Thermaltake,Thermaltake Smart BM3,99.99,13498.65,,850,bronze,Semi,ATX,Black
Asus,Asus ROG LOKI,219.99,29698.65,,850,platinum,Full,SFX,Black / Silver
Asus,Asus ROG Strix,122.5,16537.5,,750,gold,Full,ATX,Black / Red
SeaSonic,SeaSonic S12III,88.0,11880.0,,650,bronze,false,ATX,Black
Silverstone,Silverstone FX600 Platinum,210.78,28455.3,,600,,false,Flex ATX,Black
SeaSonic,SeaSonic Focus GX V4 ATX 3 (2024),168.99,22813.65,,850,gold,Full,ATX,White
EVGA,EVGA SuperNOVA 650 G3,182.49,24636.15,,650,gold,Full,ATX,
Vetroo,Vetroo GV1000,129.99,17548.65,,1000,gold,Full,ATX,Black
Asus,Asus ROG-STRIX-850G,179.6,24246.0,,850,gold,Full,ATX,Black
Corsair,Corsair RM750x,188.86,25496.1,,750,gold,Full,ATX,
be quiet!,be quiet! Dark Power 13,211.14,28503.9,,750,titanium,Full,ATX,Black
Cooler Master,Cooler Master V Platinum V2,309.99,41848.65,,1600,platinum,Full,ATX,Black / Purple
Thermaltake,Thermaltake Smart BX1 650,63.43,8563.05,,650,bronze,false,ATX,Black
EVGA,EVGA SuperNOVA 1600 T2,699.99,94498.65,,1600,titanium,Full,ATX,
SeaSonic,SeaSonic CORE GX ATX 3 (2024),111.91,15107.85,,850,gold,Full,ATX,Black
SAMA,SAMA GT,74.99,10123.65,,750,gold,Full,ATX,Black
Corsair,Corsair RM850x,201.88,27253.8,,850,gold,Full,ATX,
EVGA,EVGA 500 BR,165.0,22275.0,,500,bronze,false,ATX,
Thermaltake,Thermaltake Toughpower SFX,194.99,26323.65,,1000,platinum,Full,SFX,Black
FSP,FSP Group Dagger Pro,137.43,18553.05,,650,gold,Full,SFX,Black
Super Flower,Super Flower Leadex III Gold UP,129.99,17548.65,,850,gold,Full,ATX,Black
SAMA,SAMA GT,79.99,10798.65,,850,gold,Full,ATX,Black
MSI,MSI MPG A1250GS PCIE5,229.99,31048.65,,1250,gold,Full,ATX,Black
Lian,Lian Li EDGE GOLD,99.99,13498.65,,750,gold,Full,ATX,Black
SAMA,SAMA GT,79.99,10798.65,,850,gold,Full,ATX,White
be quiet!,be quiet! Pure Power 12,119.9,16186.5,,850,gold,false,ATX,Black
Super Flower,Super Flower LEADEX VII Platinum PRO,199.99,26998.65,,1000,platinum,Full,ATX,Black
NZXT,NZXT C1200 (2024),196.99,26593.65,,1200,gold,Full,ATX,White
Silverstone,Silverstone SFX,87.31,11786.85,,300,bronze,false,SFX,Black
Asus,Asus ROG THOR P2 Gaming,209.12,28231.2,,850,platinum,Full,ATX,Black / Silver
Asus,Asus ROG STRIX 1000G,290.95,39278.25,,1000,gold,Full,ATX,Black
Corsair,Corsair HX1000i,429.99,58048.65,,1000,platinum,Full,ATX,
ASRock,ASRock Steel Legend SL-1000G,129.99,17548.65,,1000,gold,Full,ATX,Black
ASRock,ASRock Phantom Gaming PG-850G,109.99,14848.65,,850,gold,Full,ATX,Black
SeaSonic,SeaSonic FOCUS SGX (2021),210.99,28483.65,,750,gold,Full,SFX,Black
Rosewill,Rosewill CMG1000G5,99.99,13498.65,,1000,gold,Full,ATX,Black
be quiet!,be quiet! Pure Power 9 CM,249.62,33698.7,,600,bronze,Semi,ATX,Black
Thermaltake,Thermaltake Toughpower SFX,159.99,21598.65,,850,platinum,Full,SFX,Black
Gigabyte,Gigabyte P850GM,174.9,23611.5,,850,gold,Full,ATX,Black
Corsair,Corsair RM750x SHIFT,139.99,18898.65,,750,gold,Full / Side,ATX,White
Super Flower,Super Flower LEADEX VII XG,159.99,21598.65,,850,gold,Full,ATX,Black
MSI,MSI MAG A850GN PCIE5,104.99,14173.65,,850,gold,false,ATX,Black
Silverstone,Silverstone HELA 1200R,320.72,43297.2,,1200,platinum,Full,ATX,Black
Super Flower,Super Flower LEADEX VII Platinum PRO,239.99,32398.65,,1200,platinum,Full,ATX,Black
EVGA,EVGA 700 GD,89.0,12015.0,,700,gold,false,ATX,Black
Gigabyte,Gigabyte AORUS ELITE P1000,221.13,29852.55,,1000,platinum,Full,ATX,Black
EVGA,EVGA SuperNOVA 1300 P+,209.43,28273.05,,1300,platinum,Full,ATX,Black
Super Flower,Super Flower Leadex III Gold UP,159.99,21598.65,,1000,gold,Full,ATX,Black
Vetroo,Vetroo GV1000,129.99,17548.65,,1000,gold,Full,ATX,Pink
be quiet!,be quiet! System Power 10,205.0,27675.0,,550,bronze,false,ATX,Black
ASRock,ASRock Steel Legend SL-850GW,134.99,18223.65,,850,gold,Full,ATX,White
MSI,MSI MPG A1000G,257.3,34735.5,,1000,gold,Full,ATX,Black
Thermaltake,Thermaltake TR2 S,70.61,9532.35,,600,plus,false,ATX,Black
Corsair,Corsair RM850e (2022),200.0,27000.0,,850,gold,Full,ATX,Black
SeaSonic,SeaSonic VERTEX GX-850,149.99,20248.65,,850,gold,Full,ATX,Black / Silver
Silverstone,Silverstone FX350-G,112.14,15138.9,,350,gold,false,Flex ATX,Black
