cpu_name,microarchitecture,socket,tdp,core_count
Intel Core i9-13900,Raptor Lake,LGA1700,65,24
Intel Pentium Gold G7400,Alder Lake,LGA1700,46,2
Intel Core i9-9940X,Skylake,LGA1151,165,14
AMD Athlon 200GE,Zen,AM4,35,2
Intel Core i7-4790,Haswell Refresh,LGA1150,84,4
Intel Core i5-2500K,Sandy Bridge,LGA1155,95,4
AMD Threadripper 1920X,Zen,AM4,180,12
Intel Core i5-8500T,Coffee Lake,LGA1151,35,6
Intel Core 2 Duo E8400,Wolfdale,Unknown,65,2
Intel Xeon E3-1220 V6,Kaby Lake,LGA1151,72,4
Intel Core i5-3570,Ivy Bridge,LGA1155,77,4
Intel Pentium Gold G5420,Coffee Lake,LGA1151,54,2
Intel Pentium G4400,Skylake,LGA1151,54,2
Intel Core i5-12600,Alder Lake,LGA1700,65,6
Intel Celeron 420,Core,Unknown,35,1
